Volgnr.;Naam;h;b;tw;tf;Wel;Wpl;Wel-z;Wpl-z;A;r;Iy;Izwakke as;kN/m;id_1;Naam_1;Volgnr_1
210;Dubbel UNP 300 corrosie 100 jr.;297.6;197.6;17.6;13.6;888160;1033780;;;9450;;132158316;;0.7418;3;;210
211;UNP 320;320;100;14;17.5;679000;826000;;;7580;;108700000;;0.595;;;211
212;UNP 320 corrosie 50 jr.;318.8;98.8;12.8;16.3;622438;753360;;;6919;;99216656;;0.5432;;;212
213;UNP 320 corrosie 100 jr.;317.6;97.6;11.6;15.1;573054;690198;;;6322;;91001003;;0.4962;;;213
214;Dubbel UNP 320;320;200;28;17.5;1358000;1652000;;;15160;;217400000;;1.19;1;Dubbel UNP 320;214
215;Dubbel UNP 320 corrosie 50 jr.;318.8;198.8;26.8;16.3;1244876;1506720;;;13838;;198433312;;10.864;2;;215
216;Dubbel UNP 320 corrosie 100 jr.;317.6;197.6;25.6;15.1;1146108;1380396;;;12644;;182002006;;0.9924;3;;216
217;UNP 350;350;100;14;16;734000;900000;;;7720;;128400000;;0.606;;;217
218;UNP 350 corrosie 50 jr.;348.8;98.8;12.8;14.8;668515;816950;;;7031;;116589079;;0.5519;;;218
219;UNP 350 corrosie 100 jr.;347.6;97.6;11.6;13.6;611578;744398;;;6397;;106292205;;0.5022;;;219
220;Dubbel UNP 350;350;200;28;16;1468000;1800000;;;15440;;256800000;;1.212;1;Dubbel UNP 350;220
221;Dubbel UNP 350 corrosie 50 jr.;348.8;198.8;26.8;14.8;1337030;1633900;;;14062;;233178158;;11.038;2;;221
222;Dubbel UNP 350 corrosie 100 jr.;347.6;197.6;25.6;13.6;1223156;1488796;;;12794;;212584410;;10.044;3;;222
223;UNP 380;380;102;13.5;16;829000;1014000;;;8030;;157500000;;0.631;;;223
224;UNP 380 corrosie 50 jr.;378.8;100.8;12.3;14.8;754529;920910;;;7300;;142907765;;0.573;;;224
225;UNP 380 corrosie 100 jr.;377.6;99.6;11.1;13.6;689174;837630;;;6625;;130116109;;0.5201;;;225
226;Dubbel UNP 380;380;204;27;16;1658000;2028000;;;16060;;315000000;;1.262;1;Dubbel UNP 380;226
227;Dubbel UNP 380 corrosie 50 jr.;378.8;202.8;25.8;14.8;1509058;1841820;;;14600;;285815530;;1.146;2;;227
228;Dubbel UNP 380 corrosie 100 jr.;377.6;201.6;24.6;13.6;1378348;1675260;;;13250;;260232218;;10.402;3;;228
229;UNP 400;400;110;14;18;1018000;1236000;;;9150;;203500000;;0.718;;;229
230;UNP 400 corrosie 50 jr.;398.8;108.8;12.8;16.8;933582;1130194;;;8364;;186156266;;0.6566;;;230
231;UNP 400 corrosie 100 jr. ;397.6;107.6;11.6;15.6;860366;1036779;;;7647;;171040779;;0.6003;;;231
232;Dubbel UNP 400;400;220;28;18;2036000;2472000;;;18300;;407000000;;1.436;1;Dubbel UNP 400;232
233;Dubbel UNP 400 corrosie 50 jr.;398.8;218.8;26.8;16.8;1867164;2260388;;;16728;;372312532;;13.132;2;;233
234;Dubbel UNP 400 corrosie 100 jr.;397.6;217.6;25.6;15.6;1720732;2073558;;;15294;;342081558;;12.006;3;;234
