HEA 700 corrosie 50 jr.	688,8	298,8	13,3	25,8	5937606	6662640	769481	1188160	24538	27	2044911460	114960411	1,9262	2	118,9
HEA 700 corrosie 100 jr.	687,6	297,6	12,1	24,6	5629290	6288560	727636	1120590	23012	27	1935348489	108272000	1,8064	3	115,3
HEA 800	790	300	15	28	7682000	8700000	843000	1312000	28580	30	3033999900	126400000	2,244	1	131
HEA 800 corrosie 50 jr.	788,8	298,8	13,8	26,8	7318637	8254020	799842	1242300	26958	30	2886470518	119496408	2,1162	2	127,4
HEA 800 corrosie 100 jr.	787,6	297,6	12,6	25,6	6947640	7801280	757689	1173320	25312	30	2735981366	112744000	1,987	3	123,8
HEA 900	890	300	16	30	9485000	10812000	903000	1414000	32100	30	4221000000	135500000	2,516	1	136
HEA 900 corrosie 50 jr.	888,8	298,8	14,8	28,8	9056754	10282461	859863	1342500	30309	30	4024821482	128463503	2,3792	2	132,4
HEA 900 corrosie 100 jr.	887,6	297,6	13,6	27,6	8620140	9745620	817152	1271550	28544	30	3825619784	121592000	2,2407	3	128,8
HEA 1000	990	300	16,5	31	11190000	12824000	934000	1470000	34700	30	5538000000	140000000	2,723	1	138,5
HEA 1000 corrosie 50 jr.	988,8	298,8	15,3	29,8	10691020	12206200	890015	1396200	32821	30	5285640473	132968217	2,5765	2	134,9
HEA 1000 corrosie 100 jr.	987,6	297,6	14,1	28,6	10183700	11578800	846999	1323780	30938	30	5028689145	126033000	2,4286	3	131,3
HEB 100	100	100	6	10	89900	104200	33500	51420	2604	12	4500000	1673000	0,2044	1	50
HEB 100 corrosie 50 jr.	98,8	98,8	4,8	8,8	79554	90986	28730	44071	2256	12	3929995	1419290	0,1771	2	46,4
HEB 100 corrosie 100 jr.	97,6	97,6	3,6	7,6	69023	77770	24206	37042	1908	12	3368332	1181260	0,1497	3	42,8
HEB 120 	120	120	6,5	11	144100	165200	52900	81000	3400	12	8640000	3180000	0,2669	1	52,5
HEB 120 corrosie 50 jr.	118,8	118,8	5,3	9,8	128729	148912	46198	70538	2982	12	7646500	2744178	0,2341	2	48,9
HEB 120 corrosie 100 jr.	117,6	117,6	4,1	8,6	113163	126618	39716	60499	2562	12	6653992	2335320	0,2011	3	45,3
HEB 140	140	140	7	12	215600	245400	78500	119800	4300	12	15090000	5500000	0,337	1	55
HEB 140 corrosie 50 jr.	138,8	138,8	5,8	10,8	194319	218912	69451	105736	3805	12	13485710	4819910	0,2987	2	51,4
HEB 140 corrosie 100 jr.	137,6	137,6	4,6	9,6	172744	192398	60659	92149	3315	12	11884781	4173328	0,2601	3	47,8
HEB 160	160	160	8	13	311500	354000	111200	170000	5430	15	24920000	8890000	0,426	1	64
HEB 160 corrosie 50 jr. 	158,8	158,8	6,8	11,8	283521	319306	99371	151702	4866	15	22511598	7890039	0,382	2	60,4
HEB 160 corrosie 100 jr.	157,6	157,6	5,6	10,6	255105	284516	87904	133946	4304	15	20102306	6926854	0,3379	3	56,8
HEB 180	180	180	8,5	14	426000	481400	151400	231000	6530	15	38310000	13630000	0,512	1	66,5
HEB 180 corrosie 50 jr.	178,8	178,8	7,3	12,8	389828	437316	136588	208052	5895	15	34850626	12211003	0,4627	2	62,9
HEB 180 corrosie 100 jr.	177,6	177,6	6,1	11,6	353464	393029	122107	185665	5261	15	31387606	10843093	0,413	3	59,3
HEB 200	200	200	9	15	570000	642000	200300	305800	7810	18	20030000	20030000	0,613	1	75
HEB 200 corrosie 50 jr.	198,8	198,8	7,8	13,8	525185	588053	182086	277594	7109	18	52203388	18099366	0,558	2	71,4
HEB 200 corrosie 100 jr.	197,6	197,6	6,6	12,6	480019	533181	164228	249986	6404	18	47425882	16225719	0,5027	3	67,8
HEB 220	220	220	9,5	16	736000	828000	258500	393800	9100	18	80910000	28430000	0,715	1	77,5
HEB 220 corrosie 50 jr.	218,8	218,8	8,3	14,8	681311	760822	236468	359886	8333	18	74535373	25869608	0,6542	2	73,9
HEB 220 corrosie 100 jr.	217,6	217,6	7,1	13,6	626251	694171	214890	326570	7557	18	68136126	23380080	0,5932	3	70,3
HEB 240	240	240	10	17	938000	1054000	327000	498400	10600	21	112600000	39230000	0,832	1	86
HEB 240 corrosie 50 jr.	238,8	238,8	8,8	15,8	873632	974394	300762	458094	9760	21	104311669	35910970	0,7661	2	82,4
HEB 240 corrosie 100 jr.	237,6	237,6	7,6	14,6	807849	894886	275102	418469	8912	21	95972421	32682089	0,6996	3	78,8
HEB 260	260	260	10	17,5	1150000	1282000	395000	602200	11840	24	149200000	51350000	0,93	1	93
HEB 260 corrosie 50 jr.	258,8	258,8	8,8	16,3	1071290	1190390	364441	554956	10912	24	138346425	47163455	0,8566	2	89,4
HEB 260 corrosie 100 jr.	257,6	257,6	7,6	15,1	993381	1096675	334490	509004	10017	24	127947452	43082319	0,7864	3	85,8
HEB 280	280	280	10,5	18	1380000	1534000	471000	718000	13140	24	192700000	65950000	1,031	1	94,5
HEB 280 corrosie 50 jr.	278,8	278,8	9,3	16,8	1286999	1426645	435855	663382	12158	24	179407584	60758249	0,9544	2	90,9
HEB 280 corrosie 100 jr.	277,6	277,6	8,1	15,6	1195836	1317549	401211	609970	11167	24	165982039	55688106	0,8766	3	87,3
HEB 300	300	300	11	19	1680000	1868000	571000	870000	14910	27	251700000	85630000	1,17	1	103
HEB 300 corrosie 50 jr.	298,8	298,8	9,8	17,8	1575116	1745173	530519	808047	13862	27	235322305	79259571	1,0881	2	99,4
HEB 300 corrosie 100 jr.	297,6	297,6	8,6	16,6	1470292	1619786	490749	746721	12799	27	218779397	73023518	1,0047	3	95,8
HEB 320	320	300	11,5	20,5	1930000	2150000	616000	940000	16130	27	308200000	92390000	1,267	1	106,5
HEB 320 corrosie 50 jr.	318,8	298,8	10,3	19,3	1816030	2015732	575217	876282	15065	27	289474782	85937367	1,1826	2	102,9
HEB 320 corrosie 100 jr.	317,6	297,6	9,1	18,1	1703241	1880205	535080	814243	13979	27	270474611	79619876	1,0973	3	99,3
HEB 340	340	300	12	21,5	2160000	2408000	646000	986000	17090	27	366600000	96900000	1,342	1	109
HEB 340 corrosie 50 jr.	338,8	298,8	10,8	20,3	2037403	2264199	605041	922348	15997	27	345135989	90393053	1,2557	2	105,4
HEB 340 corrosie 100 jr.	337,6	297,6	9,6	19,1	1916068	2118130	564655	859760	14888	27	323432302	84020630	1,1687	3	101,8
HEB 360	360	300	12,5	22,5	2400000	2682000	676000	1032000	18060	27	431900000	101400000	1,418	1	111,5
HEB 360 corrosie 50 jr.	358,8	298,8	11,3	21,3	2272220	2528453	634871	968548	16947	27	407636186	94849748	1,6947	2	107,9
HEB 360 corrosie 100 jr.	357,6	297,6	10,1	20,1	2142189	2371611	594235	905400	15814	27	383023488	88422239	1,5841	3	104,3
HEB 400	400	300	13,5	24	2880000	3232000	721000	1104000	19780	27	576800000	108200000	1,553	1	115,5
HEB 400 corrosie 50 jr.	398,8	298,8	12,3	22,8	2738627	3055096	679676	1039097	18615	27	546082283	101543590	1,8615	2	111,9
HEB 400 corrosie 100 jr.	397,6	297,6	11,1	21,6	2590325	2875850	638656	974969	17435	27	514956697	95032052	1,3687	3	108,3
HEB 450	450	300	14	26	3550000	3982000	781000	1198000	21800	27	798900000	117200000	1,711	1	120
HEB 450 corrosie 50 jr.	448,8	298,8	12,8	24,8	3381748	3776666	739324	1131532	20575	27	758864174	110455019	1,6151	2	116,4
HEB 450 corrosie 100 jr.	447,6	297,6	11,6	23,6	2925017	3267798	697804	866168	17920	27	654618895	75535303	1,4067	3	112,8
HEB 500	500	300	14,5	28	4290000	4814000	842000	1292000	23860	27	1072000000	126200000	1,873	1	124,5
HEB 500 corrosie 50 jr.	498,8	298,8	13,3	26,8	4093837	4578329	798934	1223864	22582	27	1019709645	119369052	1,7704	2	120,9
HEB 500 corrosie 100 jr.	497,6	297,6	12,1	25,6	3897022	4338752	756967	1157846	21284	27	969579097	112636715	1,6708	3	117,3
HEB 550	550	300	15	29	4970000	5590000	872000	1342000	25410	27	1366999900	130800000	1,994	1	127
HEB 550 corrosie 50 jr.	548,8	298,8	13,8	27,8	4751180	5322042	828917	1272906	24064	27	1303723777	123840165	1,8891	2	123,4
HEB 550 corrosie 100 jr.	547,6	297,6	12,6	26,6	4527767	5049748	786627	1205574	22707	27	1239702418	117050063	1,7825	3	119,8
HEB 600	600	300	15,5	30	5700000	6426000	902000	1392000	27000	27	1710000000	135300000	2,119	1	129,5
HEB 600 corrosie 50 jr.	598,8	298,8	14,3	28,8	5454792	6122768	858865	1321890	25595	27	1633164565	128314426	2,0092	2	125,9
HEB 600 corrosie 100 jr.	597,6	297,6	13,1	27,6	5203805	5816289	816305	1253665	24178	27	1554897004	121466176	1,898	3	122,3
HEB 650	650	300	16	31	6480000	7320000	932000	1442000	28630	27	2106000000	139800000	2,248	1	132
HEB 650 corrosie 50 jr.	648,8	298,8	14,8	29,8	6205763	6982242	888837	1371290	27174	27	2013149611	132792259	2,1331	2	128,4
HEB 650 corrosie 100 jr.	647,6	297,6	13,6	28,6	5926230	6640105	846003	1302139	25697	27	1918913044	125885319	2,0172	3	124,8
HEB 700	700	300	17	32	7340000	8328000	963000	1496000	30640	27	2568999900	144400000	2,405	1	135
HEB 700 corrosie 50 jr.	698,8	298,8	15,8	30,8	7036039	7952941	918994	1423759	29119	27	2458392081	137297642	2,2858	2	131,4
HEB 700 corrosie 100 jr.	697,6	297,6	14,6	29,6	6727214	7573866	875864	1353465	27584	27	2346452319	130328495	2,1653	3	127,8
HEB 800	800	300	17,5	33	8980000	10228000	994000	1554000	33400	30	3591000000	149000000	2,623	1	143,5
HEB 800 corrosie 50 jr.	798,8	298,8	16,3	31,8	8612831	9777784	949534	1480333	31784	30	3439964688	141860370	2,495	2	139,9
HEB 800 corrosie 100 jr.	797,6	297,6	15,1	30,6	8241161	9319597	906077	1408480	30129	30	3286574868	134824313	2,3651	3	136,3
HEB 900	900	300	18,5	35	10980000	12584000	1054000	1658000	37100	30	4941000000	158200000	2,915	1	148,5
HEB 900 corrosie 50 jr.	898,8	298,8	17,3	33,8	10550133	12049607	1009761	1583371	35375	30	4741229581	150858238	2,7769	2	144,9
HEB 900 corrosie 100 jr.	897,6	297,6	16,1	32,6	10112646	11506862	965725	1509409	33601	30	4538555243	143699888	2,6377	3	141,3
HEB 1000	1000	300	19	36	12890000	14856000	1085000	1716000	40000	30	6447000000	162800000	3,14	1	151
HEB 1000 corrosie 50 jr.	998,8	298,8	17,8	34,8	12395985	14230582	1040085	1639621	38132	30	6190554869	155388726	2,9934	2	147,4
HEB 1000 corrosie 100 jr.	997,6	297,6	16,6	33,6	11887561	13596781	995725	1564045	36240	30	5929515539	148163896	2,8448	3	143,8
